Player,Team,Year,GP,PA,AB,RBI,R,H,Singles,Doubles,Triples,HR,SB,BB,SO,BA,OBP,SLG,OPS,TB,WOBA,wRAA
Pauline Pirok,Kenosha Comets,1944,112,450,404,38,73,94,81,10,3,0,75,46,11,0.233,0.311,0.272,0.583,110,0.5536990575808565,54.1906464866298
Phyllis Koehn,Kenosha Comets,1944,114,443,428,42,62,91,78,6,6,1,50,15,13,0.213,0.239,0.262,0.501,112,0.46236969517400617,41.63390881428021
Ann Harnett,Kenosha Comets,1944,98,374,351,45,41,87,70,8,8,1,18,23,9,0.248,0.294,0.325,0.619,114,0.42504176635816704,31.107245354929162
Shirley Jameson,Kenosha Comets,1944,85,366,288,23,64,73,65,4,2,2,119,78,6,0.253,0.413,0.302,0.715,87,0.8663790249527271,77.20828799416842
Genevieve Audrey Wagner,Kenosha Comets,1944,90,340,317,26,34,60,51,5,4,0,24,23,28,0.189,0.244,0.23,0.474,73,0.37487418454261145,23.34093172610057
Rose Powell,Kenosha Comets,1944,71,220,207,24,23,54,49,1,3,1,7,13,6,0.261,0.305,0.309,0.614,64,0.4870957327398368,22.250906606028476
Janice O'Hara,Kenosha Comets,1944,95,351,321,26,31,49,45,3,0,1,37,30,16,0.153,0.225,0.171,0.396,55,0.41258918326912153,27.92877072719077
Lucille Colacito,Kenosha Comets,1944,85,292,268,22,23,48,40,7,0,1,21,24,28,0.179,0.247,0.216,0.463,58,0.3762934952157158,20.16573078003051
Gertrude Weise,Kenosha Comets,1944,97,380,338,11,35,45,40,3,2,0,24,42,60,0.133,0.229,0.154,0.383,52,0.32508700307448035,20.609406439127707
Kay McDaniel,Kenosha Comets,1944,33,110,105,10,9,19,18,0,0,1,19,5,8,0.181,0.218,0.21,0.428,22,0.57559264583148,13.943858455193935
Helen Fox,Kenosha Comets,1944,40,99,96,6,9,13,12,0,0,1,4,3,7,0.135,0.162,0.167,0.328,16,0.3456240767064791,5.957941677391102
