"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Betty Foss","Fort Wayne Daisies",1950,96,404,361,61,64,125,93,24,3,5,64,43,46,0.346,0.416,0.471,0.887,170,0.943248704760034,70.8896724410746
"2","Evelyn Moroz","Fort Wayne Daisies",1950,104,435,399,50,71,124,108,13,2,1,65,36,38,0.311,0.368,0.361,0.729,144,0.876647377909511,70.1874128167348
"3","Wilma Briggs","Fort Wayne Daisies",1950,107,475,396,38,69,109,92,13,1,3,29,79,31,0.275,0.396,0.336,0.732,133,0.734719424633697,62.3496567534933
"4","Thelma Eisen","Fort Wayne Daisies",1950,106,487,432,19,87,103,80,20,3,0,75,55,27,0.238,0.324,0.299,0.623,129,0.688236713854079,59.1258705208785
"5","Vivian Kellogg","Fort Wayne Daisies",1950,107,424,397,49,37,91,72,13,3,3,9,27,26,0.229,0.278,0.3,0.578,119,0.522866606594782,36.6127445823572
"6","Dorothy Schroeder","Fort Wayne Daisies",1950,107,431,371,58,52,78,55,15,3,5,22,60,48,0.21,0.32,0.307,0.627,114,0.590734756990772,43.4182866943111
"7","Kathryn Vonderau","Fort Wayne Daisies",1950,90,324,295,25,23,57,53,4,0,0,4,29,44,0.193,0.265,0.207,0.472,61,0.46426041267481,23.9522263667974
"8","Mildred Deegan","Fort Wayne Daisies",1950,39,105,94,12,10,29,19,8,1,1,0,11,10,0.309,0.381,0.447,0.828,42,0.527709703933504,9.17463985958479
"9","Maxine Randall","Fort Wayne Daisies",1950,37,118,111,10,15,24,15,8,0,1,0,7,5,0.216,0.263,0.315,0.578,35,0.352924691418937,5.93824015432261
"10","Ruth Sagrati","Fort Wayne Daisies",1950,21,44,36,2,5,13,12,1,0,0,0,8,3,0.361,0.477,0.389,0.866,14,0.770478643090181,6.10910041620882
"11","Mary Rountree","Fort Wayne Daisies",1950,25,68,63,9,12,13,12,1,0,0,0,5,5,0.206,0.265,0.222,0.487,14,0.45504616077884,4.89418129140445
"12","Dorothy Collins","Fort Wayne Daisies",1950,26,60,57,3,2,8,8,0,0,0,0,3,13,0.14,0.183,0.14,0.324,8,0.351360887915983,2.99955308604055
"13","Helen LaCamera","Fort Wayne Daisies",1950,31,72,61,9,8,8,8,0,0,0,0,11,14,0.131,0.264,0.131,0.395,8,0.402353383004312,4.37779278788248
"14","Catherine Blumetta","Fort Wayne Daisies",1950,23,60,55,1,2,5,5,0,0,0,1,5,10,0.091,0.167,0.091,0.258,5,0.29781469572526,2.3184633380747
"15","Doris Satterfield","Grand Rapids Chicks",1950,113,464,432,54,68,120,92,16,8,4,38,32,24,0.278,0.328,0.38,0.707,164,0.709244677931672,58.3999356323233
"16","Inez Voyce","Grand Rapids Chicks",1950,113,452,380,66,53,111,89,14,5,3,13,72,23,0.292,0.405,0.379,0.784,144,0.688869190175979,54.9371828040118
"17","Lavonne Davis","Grand Rapids Chicks",1950,110,405,370,70,35,92,75,16,0,1,15,35,10,0.249,0.314,0.3,0.614,111,0.543152966415616,36.7138204329853
"18","Marilyn Olinger","Grand Rapids Chicks",1950,113,454,396,21,78,89,80,7,1,1,35,58,25,0.225,0.324,0.255,0.579,101,0.655341152516376,51.9533455284186
"19","Dorice Reid","Grand Rapids Chicks",1950,107,452,392,28,59,78,69,6,3,0,36,60,43,0.199,0.305,0.23,0.535,90,0.594553259701058,45.8996894949447
"20","Marie Wegman","Grand Rapids Chicks",1950,94,329,286,27,26,67,57,9,1,0,22,43,31,0.234,0.334,0.273,0.607,78,0.599371197647319,33.7453200106846
"21","Alma Ziegler","Grand Rapids Chicks",1950,111,392,322,23,37,56,52,4,0,0,19,70,19,0.174,0.321,0.186,0.508,60,0.542742443660928,35.501236932208
"22","Phyllis Koehn","Grand Rapids Chicks",1950,57,177,166,11,11,26,23,3,0,0,3,11,18,0.157,0.209,0.175,0.384,29,0.363104510575639,9.2893377733283
"23","Dolly Konwinski","Grand Rapids Chicks",1950,49,159,147,4,12,25,22,3,0,0,1,12,24,0.17,0.233,0.19,0.423,28,0.375890848743152,8.77564996832236
"24","Earlene Risinger","Grand Rapids Chicks",1950,32,91,88,6,6,21,20,1,0,0,1,3,6,0.239,0.264,0.25,0.514,22,0.535237402525014,8.09657510736054
"25","Magdalen Redman","Grand Rapids Chicks",1950,35,85,77,5,7,10,9,1,0,0,1,8,11,0.13,0.212,0.143,0.355,11,0.337839308108079,4.00571437748423
"26","Lois Barker","Grand Rapids Chicks",1950,32,70,64,3,4,8,7,1,0,0,0,6,15,0.125,0.2,0.141,0.341,9,0.294311146795143,2.65288258834372
"27","Jaynne Bittner","Grand Rapids Chicks",1950,21,40,40,0,3,5,4,1,0,0,0,0,9,0.125,0.125,0.15,0.275,6,0.197238452066608,0.692777989325256
"28","Donna Cook","Grand Rapids Chicks",1950,11,21,19,1,2,4,3,0,1,0,0,2,2,0.211,0.286,0.316,0.602,6,0.453666250535787,1.5052951402911
"29","Mildred Earp","Grand Rapids Chicks",1950,12,27,21,1,0,1,1,0,0,0,1,6,6,0.048,0.259,0.048,0.307,1,0.362703317600314,1.4147212579201
"30","Delores White","Kenosha Comets",1950,108,453,409,37,58,108,86,14,7,1,29,44,23,0.264,0.336,0.34,0.675,139,0.626908470614207,49.1084212346534
"31","Fern Shollenberger","Kenosha Comets",1950,112,449,417,31,48,106,96,8,2,0,28,32,22,0.254,0.307,0.283,0.59,118,0.637642894623218,49.6965544152775
"32","Veronica Josephine Lenard","Kenosha Comets",1950,110,448,389,51,52,101,87,9,4,1,53,59,19,0.26,0.357,0.311,0.668,121,0.766318405908143,61.8066373414933
"33","Ernestine Petras","Kenosha Comets",1950,104,440,381,23,57,88,76,8,4,0,52,59,38,0.231,0.334,0.273,0.607,104,0.699570998308385,54.4769120755901
"34","Margaret Cryan","Kenosha Comets",1950,94,374,332,38,45,85,70,12,3,0,30,42,20,0.256,0.34,0.31,0.65,103,0.632491877793465,40.9869450822531
"35","Julie Gutz","Kenosha Comets",1950,112,406,365,27,45,74,62,10,1,1,5,41,36,0.203,0.283,0.244,0.527,89,0.46334368872958,29.9353073836829
"36","Jean Cione","Kenosha Comets",1950,79,285,268,37,29,67,56,7,3,1,10,17,39,0.25,0.295,0.31,0.604,83,0.575277339105241,27.7765552413992
"37","Jean Buckley","Kenosha Comets",1950,71,235,222,22,23,46,34,6,4,2,5,13,38,0.207,0.251,0.297,0.548,66,0.485882454268189,18.4499387124508
"38","Dorothy Parker","Kenosha Comets",1950,74,212,191,11,25,40,35,4,1,0,10,21,12,0.209,0.288,0.241,0.529,46,0.529164683884582,18.5894256724675
"39","Muriel Bevis","Kenosha Comets",1950,56,170,165,13,13,35,28,4,2,1,4,5,38,0.212,0.235,0.279,0.514,46,0.481044422005486,13.1724060532695
"40","Jean Malanowski/Marlowe","Kenosha Comets",1950,42,119,109,10,11,23,20,1,1,1,4,10,24,0.211,0.277,0.266,0.543,29,0.599512841750661,12.2093273503825
"41","Ruby Stephens","Kenosha Comets",1950,29,82,72,8,13,16,16,0,0,0,0,10,12,0.222,0.317,0.222,0.539,16,0.562282947568215,7.76596238830032
"42","Bethany Goldsmith","Kenosha Comets",1950,27,71,70,4,6,14,14,0,0,0,0,1,7,0.2,0.211,0.2,0.411,14,0.460598656811059,5.19367503831662
"43","Doris Sams","Kalamazoo Lassies",1950,94,306,279,31,42,84,62,15,3,4,11,27,19,0.301,0.363,0.419,0.782,117,0.686468640540396,37.036262206208
"44","Eilaine Roth","Kalamazoo Lassies",1950,107,450,386,21,55,78,70,4,4,0,64,64,20,0.202,0.316,0.233,0.549,90,0.718172855723838,57.4895944899177
"45","Jean Dowler","Kalamazoo Lassies",1950,94,325,289,26,22,64,53,8,2,1,4,36,22,0.221,0.308,0.273,0.581,79,0.505507968893147,26.8680352737247
"46","Barbara Payne","Kalamazoo Lassies",1950,100,319,299,16,19,57,48,8,1,0,6,20,45,0.191,0.241,0.224,0.465,67,0.405993638303242,19.6422309030158
"47","Betty Francis","Kalamazoo Lassies",1950,56,146,129,10,15,33,29,2,1,1,5,17,12,0.256,0.342,0.31,0.653,40,0.678578051848264,17.4266732342127
"48","Ysora Kinney","Kalamazoo Lassies",1950,96,259,207,14,20,28,20,6,2,0,6,52,39,0.135,0.309,0.184,0.492,38,0.388931930879779,15.0109676849231
"49","Helen Kiely","Kalamazoo Lassies",1950,49,107,106,6,10,17,16,1,0,0,4,1,9,0.16,0.168,0.17,0.338,18,0.397269450271635,6.3905655907984
"50","Mirtha Fernandez","Kalamazoo Lassies",1950,34,68,58,1,3,9,6,3,0,0,1,10,22,0.155,0.279,0.207,0.486,12,0.316871081631163,2.90230145621086
"51","Sara Reeser","Kalamazoo Lassies",1950,12,27,25,0,3,2,2,0,0,0,1,2,3,0.08,0.148,0.08,0.228,2,0.300539293093584,1.05890368951371
"52","Dorothy Stolze","Peoria Red Wings",1950,106,442,415,32,44,101,88,8,4,1,28,27,18,0.243,0.29,0.289,0.579,120,0.621957624431509,47.452041059385
"53","Mary Carey","Peoria Red Wings",1950,109,457,412,24,54,97,83,12,2,0,37,45,40,0.235,0.311,0.274,0.585,113,0.611562508352646,48.0553103622514
"54","Rita Briggs","Peoria Red Wings",1950,104,385,338,26,39,73,62,9,1,1,14,47,22,0.216,0.312,0.257,0.569,87,0.544703458351539,35.0273401048866
"55","Twila Shively","Peoria Red Wings",1950,109,432,381,36,44,73,57,10,5,1,29,51,64,0.192,0.287,0.252,0.539,96,0.528622334667768,37.8306698947897
"56","Jean Smith","Peoria Red Wings",1950,89,303,267,14,36,58,45,10,3,0,12,36,44,0.217,0.31,0.277,0.587,74,0.486250384841254,23.8122781524896
"57","Mary Wisham","Peoria Red Wings",1950,49,196,162,22,25,55,40,8,4,3,14,34,13,0.34,0.454,0.494,0.948,80,0.871331711472224,31.4038025670843
"58","Joyce Westerman","Peoria Red Wings",1950,70,242,197,19,26,50,44,4,2,0,4,45,29,0.254,0.393,0.294,0.687,58,0.608777042753134,25.30433039414
"59","Faye Dancer","Peoria Red Wings",1950,49,205,193,13,25,40,30,8,0,2,19,12,30,0.207,0.254,0.28,0.533,54,0.591799167950446,20.6976473531924
"60","Margaret Jones","Peoria Red Wings",1950,93,308,266,23,14,35,32,2,1,0,6,42,46,0.132,0.25,0.147,0.397,39,0.39607109533577,18.3170271785157
